model,task,replicate,metric,value
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,1,timer/validation,1.959606647491455
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,1,timestamp,1715386111.781414
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,1,runtime,357.6373510360718
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,1,step,2186
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,1,timer/step,0.035828351974487305
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,1,trainer/globalstep,5260
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,1,trainer/lr/pg1,2.5431088148421133e-05
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,1,trainer/lr/pg2,2.5431088148421133e-05
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,1,trainer/loss,0.11617061495780945
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,1,trainer/epoch,19.0
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,1,epoch,8
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,1,val/accuracy,0.8734666705131531
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,1,val/mcc,0.747599398473941
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,1,val/loss,0.43878254294395447
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,1,timer/epoch,11.18708848953247
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,1,train/accuracy,0.9676212072372437
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,1,train/mcc,0.9353647471742372
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,1,train/loss,0.10349664092063904
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,1,test/accuracy,0.8789600133895874
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,1,test/mcc,0.006796580914464659
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,1,test/loss,0.2933388352394104
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,1,wandb,runtime, 356
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,2,timer/validation,1.9699184894561768
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,2,timestamp,1715386422.4528143
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,2,runtime,295.75720143318176
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,2,step,2186
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,2,timer/step,0.03610682487487793
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,2,trainer/globalstep,5260
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,2,trainer/lr/pg1,2.5431088148421133e-05
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,2,trainer/lr/pg2,2.5431088148421133e-05
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,2,trainer/loss,0.1024773046374321
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,2,trainer/epoch,19.0
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,2,epoch,7
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,2,val/accuracy,0.8737333416938782
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,2,val/mcc,0.7475055680324512
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,2,val/loss,0.42075878381729126
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,2,timer/epoch,11.339775800704956
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,2,train/accuracy,0.9683043956756592
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,2,train/mcc,0.9368129053098548
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,2,train/loss,0.10341490805149078
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,2,test/accuracy,0.8804399967193604
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,2,test/mcc,0.006870431983072236
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,2,test/loss,0.28647762537002563
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,2,wandb,runtime, 295
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,3,timer/validation,2.0016160011291504
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,3,timestamp,1715386739.1751657
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,3,runtime,283.9831416606903
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,3,step,2186
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,3,timer/step,0.03591609001159668
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,3,trainer/globalstep,5260
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,3,trainer/lr/pg1,2.5431088148421133e-05
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,3,trainer/lr/pg2,2.5431088148421133e-05
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,3,trainer/loss,0.11013409495353699
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,3,trainer/epoch,19.0
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,3,epoch,8
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,3,val/accuracy,0.8772000074386597
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,3,val/mcc,0.7552397563364407
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,3,val/loss,0.39607787132263184
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,3,timer/epoch,11.296227931976318
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,3,train/accuracy,0.9658834338188171
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,3,train/mcc,0.9321087282236903
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,3,train/loss,0.10586129873991013
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,3,test/accuracy,0.8784000277519226
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,3,test/mcc,0.006945703536024012
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,3,test/loss,0.28849461674690247
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,3,wandb,runtime, 283
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,4,timer/validation,1.9904301166534424
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,4,timestamp,1715387028.2981253
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,4,runtime,271.6803312301636
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,4,step,2186
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,4,timer/step,0.035773277282714844
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,4,trainer/globalstep,5260
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,4,trainer/lr/pg1,2.5431088148421133e-05
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,4,trainer/lr/pg2,2.5431088148421133e-05
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,4,trainer/loss,0.19346371293067932
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,4,trainer/epoch,19.0
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,4,epoch,8
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,4,val/accuracy,0.8670666813850403
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,4,val/mcc,0.7345099169427585
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,4,val/loss,0.4071628451347351
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,4,timer/epoch,11.310898303985596
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,4,train/accuracy,0.9684084057807922
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,4,train/mcc,0.9370072848286385
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,4,train/loss,0.10232705622911453
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,4,test/accuracy,0.8788800239562988
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,4,test/mcc,0.007187517572022248
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,4,test/loss,0.2932056486606598
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,4,wandb,runtime, 270
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,5,timer/validation,1.964052677154541
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,5,timestamp,1715387324.4369924
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,5,runtime,277.9944922924042
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,5,step,2186
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,5,timer/step,0.03626537322998047
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,5,trainer/globalstep,5260
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,5,trainer/lr/pg1,2.5431088148421133e-05
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,5,trainer/lr/pg2,2.5431088148421133e-05
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,5,trainer/loss,0.10831261426210403
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,5,trainer/epoch,19.0
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,5,epoch,16
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,5,val/accuracy,0.8705333471298218
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,5,val/mcc,0.7411636183846053
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,5,val/loss,0.4266352355480194
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,5,timer/epoch,11.221033573150635
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,5,train/accuracy,0.9690619111061096
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,5,train/mcc,0.938283341500037
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,5,train/loss,0.09997692704200745
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,5,test/accuracy,0.8779600262641907
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,5,test/mcc,0.007188083593987773
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,5,test/loss,0.36855846643447876
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_coding_vs_intergenomic_seqs,5,wandb,runtime, 277
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,1,timer/validation,1.9484317302703857
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,1,timestamp,1715386269.5954058
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,1,runtime,320.53599190711975
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,1,step,2186
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,1,timer/step,0.03573131561279297
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,1,trainer/globalstep,5260
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,1,trainer/lr/pg1,2.5431088148421133e-05
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,1,trainer/lr/pg2,2.5431088148421133e-05
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,1,trainer/loss,0.019979272037744522
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,1,trainer/epoch,19.0
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,1,epoch,9
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,1,val/accuracy,0.9473333358764648
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,1,val/mcc,0.8947859263127007
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,1,val/loss,0.24325205385684967
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,1,timer/epoch,11.200858354568481
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,1,train/accuracy,0.996613621711731
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,1,train/mcc,0.9932313358751719
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,1,train/loss,0.014172459952533245
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,1,test/accuracy,0.9528800249099731
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,1,test/mcc,0.008762833401160491
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,1,test/loss,0.13926169276237488
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,1,wandb,runtime, 319
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,2,timer/validation,1.9659292697906494
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,2,timestamp,1715386586.8641899
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,2,runtime,300.0274968147278
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,2,step,2186
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,2,timer/step,0.03553438186645508
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,2,trainer/globalstep,5260
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,2,trainer/lr/pg1,2.5431088148421133e-05
