model,task,task_category,task_benchmark,replicate_number,accuracy,f1,mcc,sequence_length,epoch
DNABERT-1 (6-mer),enhancers,Regulatory (human),Nucleotide Transformer,1,0.852309694209499,0.8521885603192295,0.7044992404739007,200,4.0
DNABERT-1 (6-mer),enhancers_types,Regulatory (human),Nucleotide Transformer,1,0.7677293428757319,0.7382755344854554,0.63064981988136,200,4.0
DNABERT-1 (6-mer),splice_sites_all,Splice Sites (human),Nucleotide Transformer,1,0.9806666666666667,0.980643064527906,0.9710210195424985,600,5.0
DNABERT-1 (6-mer),splice_sites_acceptors,Splice Sites (human),Nucleotide Transformer,1,0.9706943192064923,0.9706942655932547,0.9414552260772412,400,5.0
DNABERT-1 (6-mer),splice_sites_donor,Splice Sites (human),Nucleotide Transformer,1,0.9772416932180246,0.9772408963585435,0.9544963710315392,400,5.0
DNABERT-1 (6-mer),enhancers,Regulatory (human),Nucleotide Transformer,2,0.8568640208197787,0.8567718040297385,0.7135900865339672,200,4.0
DNABERT-1 (6-mer),enhancers_types,Regulatory (human),Nucleotide Transformer,2,0.7709824333116461,0.7423169306041736,0.6332881925869592,200,4.0
DNABERT-1 (6-mer),splice_sites_all,Splice Sites (human),Nucleotide Transformer,2,0.9793333333333333,0.9793417415199671,0.9690146189654987,600,5.0
DNABERT-1 (6-mer),splice_sites_acceptors,Splice Sites (human),Nucleotide Transformer,2,0.9697926059513075,0.9697918629557285,0.9395935830008469,400,5.0
DNABERT-1 (6-mer),splice_sites_donor,Splice Sites (human),Nucleotide Transformer,2,0.973145197997269,0.973145108978156,0.9463390097274398,400,5.0
DNABERT-1 (6-mer),enhancers,Regulatory (human),Nucleotide Transformer,3,0.8562134027325959,0.8559314090370248,0.7128589962324057,200,4.0
DNABERT-1 (6-mer),enhancers_types,Regulatory (human),Nucleotide Transformer,3,0.763825634352635,0.7317738112488573,0.6215995440391694,200,4.0
DNABERT-1 (6-mer),splice_sites_all,Splice Sites (human),Nucleotide Transformer,3,0.9783333333333334,0.9783137213575603,0.9675351900718225,600,5.0
DNABERT-1 (6-mer),splice_sites_acceptors,Splice Sites (human),Nucleotide Transformer,3,0.9711451758340848,0.9711391684456643,0.9423794550368509,400,5.0
DNABERT-1 (6-mer),splice_sites_donor,Splice Sites (human),Nucleotide Transformer,3,0.9758761948111061,0.975875695012896,0.9517550293896314,400,5.0
DNABERT-1 (6-mer),enhancers,Regulatory (human),Nucleotide Transformer,4,0.8627195836044242,0.8625622704917859,0.7254473222344746,200,4.0
DNABERT-1 (6-mer),enhancers_types,Regulatory (human),Nucleotide Transformer,4,0.7774886141834743,0.7509356226870546,0.6460086686221349,200,4.0
